document_id,meeting_id,title,document_type,file_name,file_url,upload_date,doc_date,notes
45,45,Village Council Workshop Minutes - 2016-03-02,Minutes,030216 Council Workshop Approved Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2016%20Minutes/Council/030216%20Council%20Workshop%20Approved%20Minutes.pdf,,2016-03-02,
46,46,Village Council Meeting Minutes - 2022-03-02,Minutes,03022022 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/COUNCIL/03022022%20minutes.pdf,,2022-03-02,
47,47,Village Council Meeting Minutes - 2021-03-03,Minutes,03032021 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/COUNCIL/03032021%20minutes.pdf,,2021-03-03,
48,48,Village Council Meeting Minutes - 2024-03-06,Minutes,03062024 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/03062024%20minutes.pdf,,2024-03-06,
49,49,PZ&DB Meeting Minutes - 2022-03-08,Minutes,03082022 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/PZD%20BOARD/03082022%20PZDB%20Minutes.pdf,,2022-03-08,
50,50,Zoning Hearing Minutes - 2016-03-09,Minutes,030916 Zoning Hearing Approved Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2016%20Minutes/Council/030916%20Zoning%20Hearing%20Approved%20Minutes.pdf,,2016-03-09,
51,51,Village Council Workshop Minutes - 2017-03-09,Minutes,030917 Council Workshop Approved Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2017%20Minutes/Council/030917%20Council%20Workshop%20Approved%20Minutes.pdf,,2017-03-09,
52,52,PZ&DB Meeting Minutes - 2026-03-10,Minutes,03102026 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2026%20Minutes/PZDB/03102026%20PZDB%20Minutes.pdf,,2026-03-10,
53,53,PZ&DB Meeting Minutes - 2025-03-11,Minutes,03112025 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/PZDB/03112025%20PZDB%20Minutes.pdf,,2025-03-11,
54,54,PZ&DB Meeting Minutes - 2024-03-12,Minutes,03122024 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/PZDB/03122024%20PZDB%20Minutes.pdf,,2024-03-12,
55,55,Village Council Workshop Minutes - 2024-03-13,Minutes,03132024 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/03132024%20minutes.pdf,,2024-03-13,
56,56,PZ&DB Meeting Minutes - 2023-03-14,Minutes,03142023 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/PZDB/03142023%20PZDB%20Minutes.pdf,,2023-03-14,
57,57,Village Council Meeting Minutes - 2017-03-15,Minutes,031517 Council Meeting Approved Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2017%20Minutes/Council/031517%20Council%20Meeting%20Approved%20Minutes.pdf,,2017-03-15,
58,58,Village Council Meeting Minutes - 2016-03-16,Minutes,031616 Council Meeting Approved Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2016%20Minutes/Council/031616%20Council%20Meeting%20Approved%20Minutes.pdf,,2016-03-16,
59,59,Village Council Meeting Minutes - 2022-03-16,Minutes,03162022 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/COUNCIL/03162022%20minutes.pdf,,2022-03-16,
60,60,Village Council Meeting Minutes - 2015-03-17,Minutes,031715 Regular Meeting Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2015%20Minutes/Council/031715%20Regular%20Meeting%20Minutes.pdf,,2015-03-17,
61,61,Village Council Meeting Minutes - 2021-03-17,Minutes,03172021 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/COUNCIL/03172021%20minutes.pdf,,2021-03-17,
62,62,Village Council Meeting Minutes - 2025-03-19,Minutes,03192025.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/Council/03192025.pdf,,2025-03-19,
63,63,Village Council Meeting Minutes - 2015-03-20,Minutes,032015 Workshop Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2015%20Minutes/Council/032015%20Workshop%20Minutes.pdf,,2015-03-20,
64,64,Village Council Meeting Minutes - 2024-03-20,Minutes,03202024 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/03202024%20minutes.pdf,,2024-03-20,
65,65,Village Council Meeting Minutes - 2016-03-23,Minutes,032316 Council Meeting Approved Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2016%20Minutes/Council/032316%20Council%20Meeting%20Approved%20Minutes.pdf,,2016-03-23,
