ProjectName,MeetingType,MeetingDate,MeetingYear,Status,ActionTaken,StartTime,StaffCode,Title,MinutesURL,DocDate,LocationName,Latitude,Longitude
Corkscrew Road,Regular Council Meeting,2021-03-03,2021,Accepted,"Approved to permit Councilmembers Levitan and Wilson to participate remotely in Zoom Presentation | Approved agenda with the moving items of 7A and 8A up to be heard after the Consent Agenda | Approved the Consent Agenda | Denied request to amend the zoning for the Estero Town Center CPD for a Firestone Complete Auto Care, and adopt Ordinance 2020-09 | Approved the Williams Road Bicycle and Pedestrian Improvements - Concept Design contract with Banks Engineering under Supplemental Task Authorization (STA) - 01 Contract EC 2020-56 Miscellaneous Professional Services to perform a suite of design services for the Bicycle & Pedestrian improvements along Williams Road, between US 41 and Three Oaks Parkway, approve a 10% contingency for additional services that may be required to complete the project, and authorize the Village Manger to sign the STA and other additional implementing documents within the scope of the STA on behalf of the Village of Estero Council | Approved Ben Hill Griffin Parkway Preliminary Landscape Design contracts with Bruce Howard and Associates under EC2020-42 and RWA Engineering under EC2020-67 to perform a suite of design services for the proposed landscape improvements along Ben Hill Griffin Parkway from Corkscrew Road to Estero Parkway, approve a 10% contingency for additional services that may be required to complete the project, and Authorize the Village Manager to sign the Supplemental Task Authorization (STA) and other additional implementing documen",9:30 am,DA/MI,Village Council Meeting Minutes — 2021-03-03,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/COUNCIL/0232021%20minutes.pdf,2021-02-03,Corkscrew Road Widening Corridor,26.436300,-81.770100
General Council Business,Regular Council Meeting,2023-03-15,2023,Accepted,"Motion to permit Councilmember Wilson to participate remotely in Zoom Presentation | Approved agenda with moving workshop 12a to item 3b | Approved the Consent Agenda items a, b, and c | Approves Supplemental Task Authorization (STA)-34 under contract EC 2019-06 to P & T Lawn and Tractor Service, Inc. to construct and install a monument sign on US 41 at a total cost of $69,968, approve a contingency fund amount of $7,000 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the STA on behalf of the Village of Estero Council | Approved Ordinance No. 2023-02 the recommended changes made by the Planning Zoning and Design Board",9:30 am,ON/CO,Village Council Meeting Minutes — 2023-03-15,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/03012023%20minutes.pdf,2023-03-01,Estero Village Hall,26.428500,-81.806800
General Council Business,Regular Council Meeting,2024-03-20,2024,Accepted,"Approved agenda | Approved consent agenda | Approved EC 2024-26 in the amount of $1,967,667 for Hellas Construction, Inc. to install artificial turf on The Jeff Sommer Stadium football field, approve a $197,000 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero Council, and to approve and execute any subsequent amendments which do not require an increase in the not to exceed budget (with contingency) | Approved the attached Professional Services agreement with Vieste, LLC | Passed first reading of Ordinance No. 2024-01 and set second reading for March 20, 2024 | Passed first reading of Ordinance No. 2024-02 and set second reading for March 20, 2024 | Passed first reading of Ordinance No. 2024-04 and set second reading for March 20, 2024 | Adopted Ordinance No. 2024-03 subject to changing the word enforcement to compliance",9:30 am,DA/MI,Village Council Meeting Minutes — 2024-03-20,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/03062024%20minutes.pdf,2024-03-06,Estero Village Hall,26.428500,-81.806800
General Council Business,Public Hearing,2016-04-06,2016,Accepted,"Approved continuing to a date certain, March 23, 2016",9:30 am,DA/MI,Village Council Meeting Minutes — 2016-04-06,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2016%20Minutes/Council/030916%20Zoning%20Hearing%20Approved%20Minutes.pdf,2016-03-09,Estero Village Hall,26.428500,-81.806800
Corkscrew Road,Regular Council Meeting,2022-04-06,2022,Accepted,"Approved agenda | Approved the Consent Agenda | Approved initiation of a rezoning and Comprehensive Plan Amendment for property south of Estero River, East of US 41 and north of Corkscrew Road | Approved the purchase of the 10-acre vacant parcel, commonly known as ""River Oaks"" at the east end of Broadway Avenue | Approved First Addendum to Peoples Gas System, Inc. ""(TECO)"" Franchise Agreement Ordinance 2021-09 | Approved the contract with Atkins North America to provide design and permitting services for the Sandy Lane and Broadway East Bicycle/Pedestrian Improvements Project in the amount of $671,513.25, approve a contingency fund amount of $67,000 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract with Atkins North America and any other related ancillary documents on behalf of the Village Council",9:30 am,DA/MI,Village Council Meeting Minutes — 2022-04-06,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/COUNCIL/03162022%20minutes.pdf,2022-03-16,Corkscrew Road Widening Corridor,26.436300,-81.770100
Corkscrew Road,Regular Council Meeting,2022-04-06,2022,Accepted,"Approved agenda | Approved the Consent Agenda | Approved initiation of a rezoning and Comprehensive Plan Amendment for property south of Estero River, East of US 41 and north of Corkscrew Road | Approved the purchase of the 10-acre vacant parcel, commonly known as ""River Oaks"" at the east end of Broadway Avenue | Approved First Addendum to Peoples Gas System, Inc. ""(TECO)"" Franchise Agreement Ordinance 2021-09 | Approved the contract with Atkins North America to provide design and permitting services for the Sandy Lane and Broadway East Bicycle/Pedestrian Improvements Project in the amount of $671,513.25, approve a contingency fund amount of $67,000 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract with Atkins North America and any other related ancillary documents on behalf of the Village Council",9:30 AM,TD/CS,Village Council Meeting Minutes — 2022-04-06,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/COUNCIL/03162022%20minutes.pdf,2022-03-16,Corkscrew Road Widening Corridor,26.436300,-81.770100
General Council Business,Regular Council Meeting,2015-03-17,2015,Accepted,No action found,9:30 am,ES/FL,Village Council Meeting Minutes — 2015-03-17,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2015%20Minutes/Council/031715%20Regular%20Meeting%20Minutes.pdf,2015-03-17,Estero Village Hall,26.428500,-81.806800
General Council Business,Regular Council Meeting,2021-03-24,2021,Accepted,"Elected Vice Mayor Errington to be Mayor | Elected Councilmember McLain to be Vice Mayor | Approved agenda | Approved the Consent Agenda | Approved Resolution 2021-04 | Authorized the Mayor to provide letters to our legislative delegation on several issues of local government preemption that are being considered by the legislature, one being building design standards preemption, the other being the comprehensive plan language in Senate Bill 284, and the language in House Bill 403, which is the home-based business preemption | Appointed Councilmember Ribble to be our liaison to the Florida League of Cities",9:30 am,DA/MI,Village Council Meeting Minutes — 2021-03-24,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/COUNCIL/03172021%20minutes.pdf,2021-03-17,Estero Village Hall,26.428500,-81.806800
General Council Business,Council Workshop,2015-03-20,2015,Accepted,No action found,9:30 am,null,Village Council Meeting Minutes — 2015-03-20,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2015%20Minutes/Council/032015%20Workshop%20Minutes.pdf,2015-03-20,Estero Village Hall,26.428500,-81.806800
General Council Business,Regular Council Meeting,2024-04-03,2024,Accepted,"Approved agenda | Approved consent agenda | Approved EC 2023-38 STA-02 in the amount of $203,782 for Hagerty Consulting, Inc. to assist the Village of Estero in preparing and submitting CDBG-DR Infrastructure Grant applications, approve a $20,000 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero Council, and to approve and execute any subsequent amendments which do not require an increase in the not to exceed budget (with contingency) | Approved EC 2024-27 Chris-Tel Construction Piggyback Agreement for Construction Manager at Risk services and to authorize the Village Manager to execute the agreement and any related documents or amendments as may be necessary | Approved EC 2024-28 Manhattan Construction Piggyback Agreement for Construction Manager at Risk services and to authorize the Village Manager to execute the agreement and any related documents or amendments as may be necessary | Adopted Ordinance No. 2024-01 | Adopted Ordinance No. 2024-02 | Adopted Ordinance No. 2024-04",9:30 am,DA/MI,Village Council Meeting Minutes — 2024-04-03,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/03202024%20minutes.pdf,2024-03-20,Estero Village Hall,26.428500,-81.806800
