ProjectName,MeetingType,MeetingDate,MeetingYear,Status,ActionTaken,StartTime,StaffCode,Title,MinutesURL,DocDate,LocationName,Latitude,Longitude
General Council Business,Regular Council Meeting,2022-06-15,2022,Accepted,"Approved motion to permit Councilmember Wilson to participate remotely in Zoom Presentation | Approved agenda | Approved the Consent Agenda | Approved the contract with N. Harris Computer Corporation to provide ""CityView"" software for Community Development for an estimated cost of $397,379, approve a contingency fund amount of $49,153 (an amount equal to 15% of the total project cost minus annual fees) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract including revisions resulting from final negotiations and related documents including annual renewal (maintenance) fee on behalf of the Council | Approved Resolution No. 2022-11 | Approved Resolution No. 2022-17 | Passed first reading of Ordinance No. 2022-04 and set second reading for July 6, 2022 | Passed Ordinance No. 2022-02",9:30 am,ON/KE,Village Council Meeting Minutes — 2022-06-15,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/COUNCIL/06152022%20minutes.pdf,2022-06-15,Estero Village Hall,26.428500,-81.806800
General Council Business,Regular Council Meeting,2015-06-17,2015,Accepted,No action found,9:30 am,null,Village Council Meeting Minutes — 2015-06-17,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2015%20Minutes/Council/061715%20Regular%20Meeting%20Approved%20Minutes.pdf,2015-06-17,Estero Village Hall,26.428500,-81.806800
Corkscrew Road,Regular Council Meeting,2023-06-21,2023,Accepted,"Approved agenda | Approved the Consent Agenda | Approved Plat | Approved STA 02 to Contract EC 2022-29 with Weston & Sampson to design and permit the extension of utilities to Cypress Park Circle for $311,650, approve a $31,000 contingency (10%) for additional services that may be required to complete the project, and authorize the Village Manager to sign the STA and other additional implementing documents within the scope of the STA on behalf of the Village of Estero Council | Approved award of Request for Bids No. RFB 2023-04, 8801 Corkscrew Road Structure Demolition to Southwest Builders Inc. to demolish the structure located at 8801 Corkscrew Road at a grand total cost of $106,890, approve a contingency fund amount of $10,689 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract documents on behalf of the Village of Estero Council with the instructions that the Village Manager is not to move forward with the demolition until further direction from Council. Additionally, Resolution No. 2023-02 was clarified to correct the date of execution from March 15, 2023, to February 15, 2023 due to error | Approved award Contract EC 2021-04 Amendment 5 to replace plant materials along Estero Parkway and authorize the Village Manager to sign the contract amendment and other additional implementing documents within the scope of the contract amendment on behalf of the Village of Est",9:30 am,ON/CO,Village Council Meeting Minutes — 2023-06-21,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/06212023%20%20minutes.pdf,2023-06-21,Corkscrew Road Widening Corridor,26.436300,-81.770100
General Council Business,Council Workshop,2015-06-24,2015,Accepted,No action found,9:30 am,null,Village Council Meeting Minutes — 2015-06-24,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2015%20Minutes/Council/062415%20Workshop%20Approved%20Minutes.pdf,2015-06-24,Estero Village Hall,26.428500,-81.806800
General Council Business,Special Called Meeting,2015-06-26,2015,Accepted,No action found,9:30 am,null,Village Council Meeting Minutes — 2015-06-26,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2015%20Minutes/Council/062615%20Special%20Meeting%20Approved%20Minutes.pdf,2015-06-26,Estero Village Hall,26.428500,-81.806800
General Council Business,Regular Council Meeting,2015-07-01,2015,Accepted,No action found,9:30 am,null,Village Council Meeting Minutes — 2015-07-01,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2015%20Minutes/Council/070115%20Regular%20Meeting%20Approved%20Minutes.pdf,2015-07-01,Estero Village Hall,26.428500,-81.806800
General Council Business,Regular Council Meeting,2025-07-02,2025,Accepted,"Approved agenda | Approved consent agenda | Adopted Resolution No. 2025-10 | Adopted Resolution No. 2025-11 | Adopted Resolution No. 2025-12 | Approved the scoring ranking and award a mutually agreeable contract to the top scoring firm which is Synovous Bank to provide banking services for the Village. Should negotiations fail with the top scoring firm, authorize negotiations to begin with the second scoring firm and award a mutually agreeable contract and so on, and authorize the Village Manager to sign a contract and any other additional implementation documents within the scope of the contract on behalf of the Village of Estero Council and begin implementation of Banking Services to the awarded bank | Approved Contract Number EC 2024-36 GMP Addendum 01 in the amount of $2,120,269 with Wright Construction Group, Inc. for the construction of the Cypress Bend RV Resort wastewater treatment plant (WWTP) site conversion to Lee County Utilities and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero Council, and to approve and execute any subsequent amendments or modifications which do not require an increase in the not to exceed budget | Approved Contract Number EC 2024-36 GMP Addendum 02 in the amount of $2,540,946 with Wright Construction, Inc. for the construction of the Sunny Grove Park wastewater treatment plant (WWTP) site conversion to Lee County Utilities and a",9:30 am,DA/MI,Village Council Meeting Minutes — 2025-07-02,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/Council/07022025.pdf,2025-07-02,Estero Village Hall,26.428500,-81.806800
General Council Business,Regular Council Meeting,2024-09-11,2024,Accepted,"Approved agenda | Approved consent agenda correction | Adopted Resolution No. 2024-12 | Adopted Resolution No. 2024-13 | Adopted Resolution No. 2024-15 | Approved award of Invitation to Bid 100124, Disaster Debris Monitoring Services for the Village of Estero to the apparent low bidder, Disaster Program Operations, Inc. to provide on-call disaster debris monitoring services as provided in the contract for a one-year period, at the rates submitted on their bid, authorize the Village Manager to execute contract documents on behalf of the Village of Estero Council. Grant the Village Manager the authority to renegotiate and execute the renewal of this contract for three (3) additional one (1) year terms under the same terms and conditions, if doing so is in the best interest of the Village of Estero | Approved award of Invitation to Bid 100224, Disaster Recovery Services for the Village of Estero to CrowderGulf Joint Venture, Inc. to provide on-call disaster recovery services as provided in the solicitation. Authorize the Village Manager to execute a contract document on behalf of the Village of Estero Council. Grant the Village Manager the authority to renegotiate and execute the renewal of this contract for three (3) additional one (1) year terms under the same terms and conditions, if doing so is in the best interest of the Village of Estero | Approved EC Task Order in the amount of $188,921 for Hagerty Consulting, Inc. to assist the Village of Estero in CDBG-DR Recovery and R",9:30 am,DA/MI,Village Council Meeting Minutes — 2024-09-11,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/07032024%20minutes.pdf,2024-07-03,Estero Village Hall,26.428500,-81.806800
BERT Rail Trail,Regular Council Meeting,2023-07-05,2023,Accepted,"Approved agenda with moving 7 (a) to the start of the meeting and 6 (h)to follow | Approved the Consent Agenda | Approved Ordinance No. 2023-06 with the Council revisions | Approved the terms set forth in the Chicken N Pickle and High 5 term sheets dated July 5th, 2023, and to authorize the Village Manager to proceed with negotiating a final Public Private Partnership Agreement and related CAM and lease agreements with each company based on these terms | Adopted Resolution No. 2023-12 | Approved Comprehensive Annual Financial Report | Approved award of Supplemental Task Authorization 06 to Contract EC 2022-38 to Johnson Engineering to provide water monitoring services for The Village of Estero for $146,340, approve a $14,600 contingency for additional services that may be required to complete the project and authorize the Village Manager to sign the STA and other additional implementing documents within the scope of the STA on behalf of the Village of Estero Council | Approved of RFB 2023-07, Sandy Lane Path Prefabricated Bridge to Contech Engineered Solutions, LLC to provide the bridge as provided in the contract, at a grand total cost of $239,500, approve a contingency fund amount of $23,950 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract documents on behalf of the Village of Estero Council | Approved the STA 1 to Contract 2022-32 with Tetra Tech, Inc. for the pre",9:30 am,ON/CO,Village Council Meeting Minutes — 2023-07-05,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/07052023%20%20minutes.pdf,2023-07-05,BERT Rail Trail Corridor,26.433900,-81.815700
General Council Business,Regular Council Meeting,2022-07-06,2022,Accepted,"Approved motion to permit Councilmembers Wilson and Ward to participate remotely in Zoom Presentation | Approved agenda with tabling 8b | Approved the Consent Agenda | Approved Comprehensive Annual Financial Report | Adopted Resolution No. 2022-20 | Adopted Resolution No. 2022-18 | Passed first reading of Ordinance No. 2022-05 with the map 2A-1 and set second reading for July 20, 2022 | Approved motion to transmit Comprehensive Plan Amendment and Ordinance No. 2022-06 to state review agency | Passed Ordinance No. 2022-07 on the first reading | Passed first reading of Ordinance No. 2022-08 | Passed motion to move Capital Improvement Hearing and Resolution 2022-19 on to second public hearing on July 20, 2022 | Approved Ordinance No. 2022-04",9:30 am,DA/MI,Village Council Meeting Minutes — 2022-07-06,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/COUNCIL/07062022%20minutes.pdf,2022-07-06,Estero Village Hall,26.428500,-81.806800
General Council Business,Regular Council Meeting,2021-07-07,2021,Accepted,"Motion to permit Councilmembers Ward and Wilson to participate remotely in Zoom Presentation | Approved agenda | Approved the consent agenda with the correction to the June 16, 2021 minutes | Approved Comprehensive Annual Financial Report | Authorized the Village Manager to execute the attached three letters of engagement, or similarly priced alternatives, and other invoices related to these services | Set public hearing date and time for July 14, 2021 at 9:30am | Approved the lien mitigation request from Ms. Hernandez releasing any outstanding liens against the Property in exchange for payment of a reduced fine of $5,000.00 and $327.20 for administrative cost | Passed first reading of Ordinance 2021-09 and set second reading for July 21, 2021",9:30 am,DA/MI,Village Council Meeting Minutes — 2021-07-07,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/COUNCIL/07072021%20minute.pdf,2021-07-07,Estero Village Hall,26.428500,-81.806800
General Council Business,Council Workshop,2015-07-10,2015,Accepted,No action found,9:30 am,null,Village Council Meeting Minutes — 2015-07-10,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2015%20Minutes/Council/071015%20Workshop%20Approved%20Minutes.pdf,2015-07-10,Estero Village Hall,26.428500,-81.806800
General Council Business,Regular Council Meeting,2015-07-15,2015,Accepted,No action found,9:30 am,null,Village Council Meeting Minutes — 2015-07-15,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2015%20Minutes/Council/071515%20Regular%20Meeting%20Approved%20Minutes.pdf,2015-07-15,Estero Village Hall,26.428500,-81.806800
General Council Business,Regular Council Meeting,2022-09-08,2022,Accepted,"Approved motion to permit Councilmembers Ribble and Ward to participate remotely in Zoom Presentation | Approved agenda | Approved the Consent Agenda | Adopted Resolution No. 2022-21 | Adopted Resolution No. 2022-19 | Passed second reading of Ordinance No. 2022-05 with Map 2A-1 and ordinance shall take effect immediately upon adoption, for implementation for the next regular Village Council election",9:30 am,ON/CO,Village Council Meeting Minutes — 2022-09-08,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/COUNCIL/07202022%20minutes.pdf,2022-07-20,Estero Village Hall,26.428500,-81.806800
General Council Business,Council Workshop,2015-07-22,2015,Accepted,No action found,9:30 am,null,Village Council Meeting Minutes — 2015-07-22,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2015%20Minutes/Council/072215%20Workshop%20Approved%20Minutes.pdf,2015-07-22,Estero Village Hall,26.428500,-81.806800
Corkscrew Road,Regular Council Meeting,2016-06-08,2016,Accepted,"Approved the Agenda | Approved the Consent Agenda | Review proposed Budget for Fiscal Year 2020-2021 Financial Impact: The proposed budget will provide funding for the Fiscal Year 2020-2021 Staff Presentation/Comments: Steve Sarkozy, Village Manager Lisa Roberson, Finance Director Council Questions or Comments: Councilmembers Levitan, McLain, Boesch, Batos, Wilson, Vice Mayor Errington, and Mayor Ribble Public Comment: None. No MEotion ]Made (b) Resolution No. 2020-13 A Resolution of the Village Council of the Village of Estero, Florida, Determining the Proposed Millage Rate for Fiscal Year 2020-2021, Setting the Date, Time and Place for the Public Hearings Required by State Law; Directing Staff to Transmit Necessary Documentation Pursuant to the Requirements of Florida Statutes and the Rules and Regulations of the Department of Revenue of the State of Florida; and Providing an Effective Date Staff Presentation/Comments: Steve Sarkozy, Village Manager Lisa Roberson, Finance Director Council Questions or Comments: Councilmembers Levitan, McLain, Boesch, Batos, Wilson, Vice Mayor Errington, and Mayor Ribble Public Comment: None | Adopted Resolution No. 2020-13 | Approve Resolution 2020-12 Naming the Lee County Supervisor of Elections as the Village ofEstero's Qualifying Official and authority for the Village Manager to enter into the attached agreement with the Lee County Supervisor of Elections, which is an expansion of the existing interlocal agreement between the parties. St",9:30 am,DA/MI,Village Council Meeting Minutes — 2016-06-08,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2020%20Minutes/Council/07222020%20Council%20Meeting%20Minutes.pdf,2020-07-22,Corkscrew Road Widening Corridor,26.436300,-81.770100
Septic to Sewer,Special Called Meeting,2023-07-26,2023,Accepted,"Approved agenda | Approved the Consent Agenda | Adopted Agreement to Transfer Ownership, Operation and Maintenance of the T&T Water Management System and Dedication and Conveyance of Related Roads and the Supplement to Agreement to Transfer Ownership, Operation, and Maintenance of a Portion of the T&T Water Management System and for Dedication and Conveyance of Roads | Approved a Sovereignty Submerged Lands easement with the Florida Department of Environmental Protection for the Sunny Groves force main and authorize the Village Mayor to sign the easement and any other associated documents on behalf of the Village",9:30 am,ON/CO,Village Council Meeting Minutes — 2023-07-26,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/07262023%20minutes.pdf,2023-07-26,Sunny Grove Septic Area,26.437600,-81.812800
General Council Business,Regular Council Meeting,2015-08-10,2015,Accepted,No action found,9:30 am,null,Village Council Meeting Minutes — 2015-08-10,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2015%20Minutes/Council/081015%20Regular%20Meeting%20Approved%20Minutes.pdf,2015-08-10,Estero Village Hall,26.428500,-81.806800
General Council Business,Regular Council Meeting,2016-08-31,2016,Accepted,"Approved the agenda as revised | Approved the Consent Agenda, revising the July 13, 2016 meeting minutes, correcting the word ""building"" to read ""buildings."" | Endorsed the revised Caloosahatchee Watershed Regional Water Management Issues White Paper, dated July 15, 2016, and authorized the Mayor to sign a letter indicating Council's endorsement | Adopted Resolution No. 2016-23 | Approved the request for the Mayor to sign a letter of support for the Edward Byrne Memorial Justice Assistance Grant (JAG) | Approved the agreement between the Village ofEstero and LaRue Planning & Management Services, Inc | Continued to next Council meeting. (h) Agreement between the Village ofEstero and Nancy Stroud of Lewis Stroud & Deutsch, PL Village Manager Sarkozy provided a brief explanation of the agreement. Vice Mayor Levitan noted that he had not found a better land use counsel than Ms. Stroud. Councilmember Ribble concurred. Village Attorney Saunders noted the following amendment to page 3, Section 11 - Compensation and Invoicing, 11.1: ""The hourly rate for Nancy Stroud is $225 per hour, except that travel time will be billed at one half the hourly rate."" Public Comment: None | Approved the agreement as amended, between the Village of Estero and Nancy Stroud of Lewis Stroud & Deutsch, PL, for continuing legal services related to land use matters, including legal assistance with the Comprehensive Plan | Adopted Resolution No. 2016-22 approving the vacation of an easement and right-of-way",9:30 am,DA/MI,Village Council Meeting Minutes — 2016-08-31,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2016%20Minutes/Council/081716%20Council%20Meeting%20Approved%20Minutes.pdf,2016-08-17,Estero Village Hall,26.428500,-81.806800
General Council Business,Special Called Meeting,2023-09-07,2023,Accepted,"Approved agenda | Approved Resolution 2023-20 waiving the provision of SECTION 5, NUMBER 2",9:30 am,TD/CS,Village Council Meeting Minutes — 2023-09-07,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/08292023%20minutes.pdf,2023-08-29,Estero Village Hall,26.428500,-81.806800
General Council Business,Regular Council Meeting,2015-09-03,2015,Accepted,No action found,9:30 am,null,Village Council Meeting Minutes — 2015-09-03,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2015%20Minutes/Council/090315%20Regular%20Meeting%20Approved%20Minutes.pdf,2015-09-03,Estero Village Hall,26.428500,-81.806800
General Council Business,Regular Council Meeting,2023-09-20,2023,Accepted,"Approved Resolution 2023-16 | Approved Resolution 2023-17 | Approved agenda | Approved consent agenda | Approved Resolution 2023-21 | Approved Resolution 2023-22 | Approved of Supplemental Task Authorization 08 to Contract EC 2022-38 to Johnson Engineering to provide Corkscrew Road Landscaping Design & Permitting services to The Village of Estero for $214,500, approve a $21,400 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the STA and other additional implementing documents within the scope of the STA on behalf of the Village of Estero Council | Approved Resolution 2023-19 | Approved award of Contract EC 2023-50 to Kisinger Campo & Associates (KCA) for Williams Road Widening Preliminary Engineering and Design services for $577,133, approve a $57,700 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero Council | Approved award Misc. Contractor Services contract EC 2019-66 STA 40 with P & T Lawn & Tractor Services for $254,934 to install new landscaping within US 41 Medians 6-12, approve a contingency fund amount of $25,500 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract documents on behalf of the V",9:30 am,ON/CO,Village Council Meeting Minutes — 2023-09-20,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/09072023%20minutes.pdf,2023-09-07,Estero Village Hall,26.428500,-81.806800
Septic to Sewer,Regular Council Meeting,2022-09-08,2022,Accepted,"Approved Resolution No. 2022-23 | Approved Resolution No. 2022-24 | Approved agenda | Approved the Consent Agenda | Adopted Resolution No. 2022-25 | Approved Supplemental Task Authorization (STA)-28 under RFQ 2019-03 Miscellaneous Contractor Services to P & T Lawn and Tractor Service, Inc. for the engagement of a Contractor to construct and install a monument sign on Imperial Parkway (in the roadway median at the Village's southern limits approximately 645 feet south of Salerno Bay Road) at a total cost of $58,941.50, approve a contingency fund amount of $5,890 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the STA on behalf of the Village of Estero Council | Approved the Seminole Gulf Railway license agreement and approve payment of $131,400 in fees to Seminole Gulf Railway to secure the license agreement and authorize the Village Manager to execute the agreement on behalf of the Village Council | Approve award of Request for Bids No. RFB 2022-03, Gravity Sewer Smoke testing, Cleaning, and CCTV Testing for Estero Bay Village, Sunny Grove, and Cypress Bend to National Water Main Cleaning Company to provide the sewer testing and cleaning services as provided in the contract, at a grand total cost of $85,885, approve a contingency fund amount of $8,500 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village M",9:30 am,ON/CO,Village Council Meeting Minutes — 2022-09-08,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/COUNCIL/09082022%20minutes.pdf,2022-09-08,Sunny Grove Septic Area,26.437600,-81.812800
General Council Business,Special Called Meeting,2025-09-10,2025,Accepted,Adopted Resolution No. 2025-14 | Adopted Resolution No. 2025-15 | Approved agenda | Approved consent agenda | Adopted Resolution No. 2025-13 and following adoption Motion to appoint the ASC members | Approved Agreement for Tourist Development Tax Funding FY 2025-2026 | Adopted Resolution No. 2025-16 | Approved agreement between Village of Estero and the Estero Forever Foundation for Happehatchee Complex property management activities | Approved the renewal of Forerunner floodplain management software for a period of two years 10/1/2025 through 9/30/2027 | Adopted Resolution No. 2025-21 | Approved Ordinance No. 2025-09,9:30 am,ON/CO,Village Council Meeting Minutes — 2025-09-10,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/Council/09102025.pdf,2025-09-10,Estero Village Hall,26.428500,-81.806800
General Council Business,Special Called Meeting,2024-09-18,2024,Accepted,Adopted Resolution No. 2024-16 | Adopted Resolution No. 2024-17 | Approved agenda | Approved consent agenda | Continued to second reading for future date to be determined by staff | Authorized the Village Manager to negotiate a fair and reasonable Agreement with the top ranked firm | Approved the Interlocal Agreement Between the Village of Estero and Lee County Utilities (LCU) for Relocation and/or Replacement of LCU Infrastructure Cost Reimbursement and authorize the Village Manager to sign the Interlocal Agreement for the Village and submit it to Lee County for final approval and recording | Adopted Ordinance No. 2024-10,9:30 am,DA/MI,Village Council Meeting Minutes — 2024-09-18,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/09112024%20minutes.pdf,2024-09-11,Estero Village Hall,26.428500,-81.806800
General Council Business,Regular Council Meeting,2015-09-16,2015,Accepted,No action found,9:30 am,null,Village Council Meeting Minutes — 2015-09-16,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2015%20Minutes/Council/091615%20Regular%20Meeting%20Approved%20Minutes.pdf,2015-09-16,Estero Village Hall,26.428500,-81.806800
General Council Business,Council Workshop,2015-09-17,2015,Accepted,No action found,9:30 am,null,Village Council Meeting Minutes — 2015-09-17,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2015%20Minutes/Council/091715%20Workshop%20Approved%20Minutes.pdf,2015-09-17,Estero Village Hall,26.428500,-81.806800
General Council Business,Special Called Meeting,2025-09-17,2025,Accepted,"Adopted Resolution No. 2025-18 | Adopted Resolution No. 2025-19 | Approved agenda | Approved consent agenda | Adopted Resolution No. 2025-20 | Adopted Resolution No. 2025-22 | Approved the ranking of professional services firms for RFQ 102125 as recommended by the Village of Estero's Selection Committee. 1-CW3 Engineering, 2-American Structurepoint, 3-Davidson Engineering, 4- Hole Montes, 5-J.R. Evans Engineering | Passed first reading of Ordinance No. 2025-10 and set second reading for October 1, 2025",9:30 am,ON/CO,Village Council Meeting Minutes — 2025-09-17,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/Council/09172025.pdf,2025-09-17,Estero Village Hall,26.428500,-81.806800
General Council Business,Special Called Meeting,2024-10-02,2024,Accepted,"Adopted Resolution No. 2024-18 with the Mill rate 0.7300 | Approved a Premier Membership of $649 to the Estero Chamber of Commerce | Adopted Resolution No. 2024-19 | Approved agenda | Approved consent agenda | Passed first reading and schedule second reading for October 2, 2024",9:30 am,ON/CO,Village Council Meeting Minutes — 2024-10-02,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/09182024%20minutes.pdf,2024-09-18,Estero Village Hall,26.428500,-81.806800
General Council Business,Regular Council Meeting,2022-09-21,2022,Accepted,"Approved agenda | Approved the Consent Agenda | Adopted Resolution No. 2022-22 | Adopted Resolution No. 2022-29 | Passed first reading of Ordinance No. 2022-09 and set second reading and public hearing for October 5, 2022 | Passed first reading of Ordinance No. 2022-10 and set second reading and public hearing for October 5, 2022 | Passed first reading of Ordinance No. 2022-11 and set second reading and public hearing for October 5, 2022 | Passed first reading of Ordinance No. 2022-12 and set second reading and public hearing for October 5, 2022 | Approved Resolution No. 2022-27 with the Mill rate .75 | Approved Resolution No. 2022-28 | Approved Ordinance No. 2022-06 | Approved Ordinance No. 2022-07",9:30 am,DA/MI,Village Council Meeting Minutes — 2022-09-21,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/COUNCIL/09212022%20minutes.pdf,2022-09-21,Estero Village Hall,26.428500,-81.806800
General Council Business,Regular Council Meeting,2021-09-22,2021,Accepted,"Motion to permit Councilmember Ward to participate remotely in Zoom Presentation | Approved agenda with the correction of the typo in 8a | Approved the Consent Agenda | Approved the contracts with Ronald L. Book, P.A. (annual cost: $35,000) and JEJ & Associates, Inc. (annual cost: $36,000) to provide professional State Legislative and Executive Branch Lobbying Services for a one-year period. Grant the Village Manager the authority to renegotiate and execute the renewal of these contracts for three additional one-year terms under the same terms and conditions, if doing so is in the best interest of the Village of Estero, approve a contingency fund amount of $7,000 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contracts on behalf of the Village of Estero Council | Authorized staff through the Village Manager to dispose of, or donate, the inoperable computers that remain in Village possession. Grant the Village Manager the authority to execute any ancillary documents related to the responsible disposal of computer equipment on behalf of the Village of Estero Council | Approved award of Supplemental Task Authorization (STA) - 01 Contract EC 2020-37 with Tetra Tech, Inc. to provide Design and Permitting services for utility expansion projects under the Village's Misc. Service Contract CN 2020-01 for a not to exceed contract amount of $371,013, approve a contingency fund amount",9:30 am,DA/MI,Village Council Meeting Minutes — 2021-09-22,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/COUNCIL/09222021%20minutes.pdf,2021-09-22,Estero Village Hall,26.428500,-81.806800
General Council Business,Regular Council Meeting,2015-09-23,2015,Accepted,No action found,9:30 am,null,Village Council Meeting Minutes — 2015-09-23,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2015%20Minutes/Council/09232015%20minutes.pdf,2015-09-23,Estero Village Hall,26.428500,-81.806800
General Council Business,Regular Council Meeting,2020-10-07,2020,Accepted,Approved the Agenda with the deletion of 7b | Approved the Consent Agenda | Adopted Resolution No. 2020-20 | Adopted Resolution No. 2020-21 | Adopted Resolution No. 2020-19 | Approved the Interlocal Agreement with Lee County for CARES Act Reimbursement Funding,9:30 am,DA/MI,Village Council Meeting Minutes — 2020-10-07,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2020%20Minutes/Council/09232020%20Council%20Meeting%20Minutes.pdf,2020-09-23,Estero Village Hall,26.428500,-81.806800
General Council Business,Special Called Meeting,2022-09-27,2022,Accepted,Approved agenda | Adopted Resolution No. 2022-30,9:30 am,DA/MI,Village Council Meeting Minutes — 2022-09-27,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/COUNCIL/09272022%20minutes.pdf,2022-09-27,Estero Village Hall,26.428500,-81.806800
Septic to Sewer,Regular Council Meeting,2025-10-15,2025,Accepted,"Approved agenda | Approved consent agenda | Approved the Florida DEP Standard Grant Agreement for the Estero Orange Park Utility Extension Project (Agreement Number L0188), and to authorize the Village Manager or designee to execute all related documents | Approved the Florida DEP Standard Grant Agreement for the Estero Broadway Avenue East Phase 1 project (Agreement Number L0187), and to authorize the Village Manager or designee to execute all related documents | Approved Third Amendment to the Public Improvement Agreement between the Village and High 5 Up Top, LLC | Adopted Ordinance No. 2025-11 on first reading and schedule 2nd reading on October 15, 2025 | Adopted Ordinance No. 2025-12 on first reading and schedule 2nd reading on October 15, 2025 | Approved Ordinance No. 2025-10",9:30 am,DA/MI,Village Council Meeting Minutes — 2025-10-15,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/Council/10012025.pdf,2025-10-01,Broadway Avenue East UEP,26.442000,-81.805400
General Council Business,Regular Council Meeting,2023-10-18,2023,Accepted,"Approved agenda with the deletion of 5(b) | Approved consent agenda with agenda item 5 b removed | Motion Failed | Authorized the Village Attorney to negotiate with the violator on a recommended amount to come back to council. If that fails, authorize the village attorney to foreclose the lien | Approved staff recommendation accepting the request of Troy Blasko, the new owner to release the Village's code enforcement lien against 20275 Sherrill Ln, Estero in exchange for the payment of $5000.00 | Approved Change Order No. 1 to Contract EC 2022-39 STA 02 with J.R. Evans Engineering, P.A. for the Estero River North Branch Drainage HMGP Assistance project and authorize the Village Manager to sign Change Order No. 1 to Contract EC 2022-39 STA 02 with J.R. Evans Engineering, P.A | Approved Resolution No. 2023-26 | Approved consultants ranking for The Village Wide Traffic Study as follows: Number 1 - Johnson Engineering; Number 2 - Trebilcock Consulting Solutions; Number 3 - Pennoni and authorize staff to negotiate a contract with the Number 1 ranked firm, Johnson Engineering, to provide professional consulting services for the Village Wide Traffic Study | Passed first reading and set second reading and public hearing for October 18, 2023 | Approved Resolution No. 2023-25",9:30 am,ON/IN,Village Council Meeting Minutes — 2023-10-18,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/10042023%20minutes.pdf,2023-10-04,Estero Village Hall,26.428500,-81.806800
General Council Business,Regular Council Meeting,2015-10-07,2015,Accepted,No action found,9:30 am,null,Village Council Meeting Minutes — 2015-10-07,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2015%20Minutes/Council/100715%20Regular%20Meeting%20Approved%20Minutes.pdf,2015-10-07,Estero Village Hall,26.428500,-81.806800
General Council Business,Council Workshop,2015-10-09,2015,Accepted,No action found,9:30 am,null,Village Council Meeting Minutes — 2015-10-09,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2015%20Minutes/Council/100915%20Workshop%20Approved%20Minutes.pdf,2015-10-09,Estero Village Hall,26.428500,-81.806800
