"Url","FileName","Label","Year"
"https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/PZDB/10102023%20PZDB%20Minutes.pdf","10102023 PZDB Minutes.pdf","October 10","2023"
"https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/PZDB/11142023%20PZDB%20Minutes.pdf","11142023 PZDB Minutes.pdf","November 14","2023"
"https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/PZDB/12122023%20PZDB%20Minutes.pdf","12122023 PZDB Minutes.pdf","December 12","2023"
"https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/PZD%20BOARD/01112022%20PZDB%20Minutes.pdf","01112022 PZDB Minutes.pdf","January 11","2022"
"https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/PZD%20BOARD/02082022%20PZB%20cancellation.pdf","02082022 PZDB cancellation.pdf","February 8","2022"
"https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/PZD%20BOARD/03082022%20PZDB%20Minutes.pdf","03082022 PZDB Minutes.pdf","March 8","2022"
"https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/PZD%20BOARD/04122022%20PZDB%20Minutes.pdf","04122022 PZDB Minutes.pdf","April 12","2022"
"https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/PZD%20BOARD/05102022%20PZDB%20Minutes.pdf","05102022 PZDB Minutes.pdf","May 10","2022"
"https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/PZD%20BOARD/06142022%20PZDB%20Minutes.pdf","06142022 PZDB Minutes.pdf","June 14","2022"
"https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/PZD%20BOARD/07122022%20PZDB%20Minutes.pdf","07122022 PZDB Minutes.pdf","July 12","2022"
"https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/PZD%20BOARD/08092022%20PZDB%20Minutes.pdf","08092022 PZDB Minutes.pdf","August 9","2022"
"https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/PZD%20BOARD/09132022%20PZDB%20Minutes.pdf","09132022 PZDB Minutes.pdf","September 13","2022"
"https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/PZD%20BOARD/cancel%20September%2027.pdf","09272022 PZDB cancellation.pdf","September 27","2022"
"https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/PZD%20BOARD/cancel%20October%2011.pdf","10112022 PZDB cancellation.pdf","October 11","2022"
"https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/PZD%20BOARD/10252022%20PZDB%20Minutes.pdf","10252022 PZDB Minutes.pdf","October 25","2022"
"https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/PZD%20BOARD/11082022%20PZDB%20Minutes.pdf","11082022 PZDB Minutes.pdf","November 8","2022"
"https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/PZD%20BOARD/12132022%20%20PZDB%20Minutes.pdf","12132022 PZDB Minutes.pdf","December 13","2022"
"https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/PZDB%20Minutes/04202021%20PZDB%20Minutes.pdf","04202021 PZDB Minutes.pdf","April 20","2021"
"https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/PZDB%20Minutes/05112021%20PZDB%20Minutes.pdf","05112021 PZDB Minutes.pdf","May 11","2021"
"https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/PZDB%20Minutes/06082021%20PZDB%20Minutes.pdf","06082021 PZDB Minutes.pdf","June 8","2021"
"https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/PZDB%20Minutes/07132021%20PZDB%20Minutes.pdf","07132021 PZDB Minutes.pdf","July 13","2021"
"https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/PZDB%20Minutes/PZDB%20Minutes%20August%2010%2C%202021.pdf","08102021 PZDB Minutes.pdf","August 10","2021"
"https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/PZDB%20Minutes/PZDB%20Minutes%20August%2024%2C%202021.pdf","08242021 PZDB Minutes.pdf","August 24","2021"
"https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/PZDB%20Minutes/09142021%20PZDB%20Minutes.pdf","09142021 PZDB Minutes.pdf","September 14","2021"
"https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/PZDB%20Minutes/09282021%20PZDB%20Minutes%20.pdf","09282021 PZDB Minutes.pdf","September 28","2021"
"https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/PZDB%20Minutes/10122021%20PZDB%20Minutes.pdf","10122021 PZDB Minutes.pdf","October 12","2021"
"https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/PZDB%20Minutes/11092021%20PZDB%20Minutes.pdf","11092021 PZDB Minutes.pdf","November 9","2021"
"https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/PZDB%20Minutes/12142021%20PZDB%20Minutes.pdf","12142021 PZDB Minutes.pdf","December 14","2021"
